Animal type;Country;Weight kg;Body Length cm;Gender;Animal code;Latitude;Longitude;Animal name;Observation date;Data compiled by
;;;;;;;;;03.01.2024;james johnson
;;;;;;;;;03.02.2024;james johnson
european bison;poland;930;335;male;;52.828845;23.820144;szefu;01.03.2024;anne anthony
european bison;poland;909;311;not determined;;52.830509;23.826849;;01.03.2024;anne anthony
european bison™;poland;581;277;female;;52.834109;23.807093;;01.03.2024;anne anthony
european bisson;poland;900;295;male;;52.834759;23.817201;;01.03.2024;anne anthony
european buster;poland;620;250;female;;52.834960;23.820750;;01.03.2024;anne anthony
lynx;hungary;24;76;male;;48.505494;20.551966;;01.03.2024;anne anthony
lynx?;hungary;23;82;female;;48.506529;20.554548;;01.03.2024;anne anthony
red squirel;poland;0.308;22;female;;52.241273;21.055745;basia;01.03.2024;anne anthony
red squirrel;pl;0.348;20;female;;52.242060;21.057802;;01.03.2024;anne anthony
red squirrel;poland;0.316;20;male;;52.240035;21.056188;lolek;01.03.2024;anne anthony
red squirrel;poland;0.34;21;;;52.240284;21.051948;;01.03.2024;anne anthony
red squirrel;poland;0.333;21;male;;;;;01.03.2024;anne anthony
red squirrel;poland;0.265;19;female;;52.240560;21.055899;;01.03.2024;anne anthony
red squirrel;poland;;;male;;52.241177;21.052873;;01.03.2024;anne anthony
red squirrel;pl;0.261;22;female;;52.240833;21.052093;;01.03.2024;anne anthony
red squirrel;poland;0.317;23;male;;52.241358;21.056352;;01.03.2024;anne anthony
red squirrel;poland;0.328;21;male;;52.241905;21.050727;;01.03.2024;anne anthony
red squirrel;hungary;0.305;21;male;;47.511401;18.949119;;01.03.2024;anne anthony
red squirrell;poland;0.328;23;male;;52.241920;21.056347;;01.03.2024;anne anthony
red squirrel;germany;0.294;19;male;;;;;01.03.2024;bob bobson
red squirrel;germany;0.25;19;female;;;;;01.03.2024;bob bobson
red squirrel;germany;0.262;21;male;;;;;01.03.2024;bob bobson
red squirrel;germany;0.267;21;female;;;;;01.03.2024;bob bobson
red squirrel;germany;0.269;22;male;;;;;01.03.2024;bob bobson
red squirrel;germany;0.308;22;female;;;;;01.03.2024;bob bobson
red squirrel;germany;0.308;19;male;;;;;01.03.2024;bob bobson
red squirrel;germany;0.27;20;male;;;;;01.03.2024;bob bobson
red squirrel;germany;0.32;20;male;;;;;01.03.2024;bob bobson
red squirrel;germany;0.262;20;male;;;;;01.03.2024;bob bobson
red squirrel;germany;0.256;21;male;;;;;01.03.2024;bob bobson
red squirrel;germany;0.245;22;male;;;;;01.03.2024;bob bobson
red squirrel;germany;0.292;19;male;;;;;01.03.2024;bob bobson
red squirrel;germany;0.289;19;female;;;;;01.03.2024;bob bobson
red squirrel;germany;0.308;22;male;;;;;01.03.2024;bob bobson
european bison;slovakia;420;182;male;;49.054684;22.417189;;01.03.2024;john johnson
european bison;slovakia;511;266;female;;49.053629;22.421831;;01.03.2024;john johnson
european bison;slovakia;814;288;male;;49.053489;22.415229;;01.03.2024;john johnson
european bison;slovakia;130;141;female;;49.054166;22.422852;;01.03.2024;john johnson
european bison;slovakia;390;180;female;;49.052731;22.422675;;01.03.2024;john johnson
european bison;slovakia;355;179;male;;49.055974;22.415985;;01.03.2024;john johnson
european bison;slovakia;566;272;female;;49.053342;22.423867;;01.03.2024;john johnson
european bison;slovakia;393;152;not determined;;49.056471;22.422475;;01.03.2024;john johnson
european bison™;czech republic;823;286;male;;50.636564;14.834553;;01.03.2024;john johnson
european bison™;slovakia;695;316;male;;49.055537;22.419428;;01.03.2024;john johnson
hedgehog;czech republic;0.6;20;female;;50.636869;14.844555;;01.03.2024;john johnson
hedgehog;czech republic;0.6;-16;male;;50.644733;14.835753;;01.03.2024;john johnson
hedgehog;czech republic;1.2;31;male;;50.635766;14.844247;;01.03.2024;john johnson
red squirrel;slovakia;0.275;23;male;;48.185353;17.08322;;01.03.2024;john johnson
wedgehod;czech republic;0.9;22;male;;50.642843;14.841240;;01.03.2024;john johnson
lynx;hungary;23;78;female;;48.504128;20.568479;;02.03.2024;anne anthony
lynx?;poland;29;94;male;;52.809851;23.858071;;02.03.2024;anne anthony
red squirrel;germany;0.244;22;female;;;;;02.03.2024;bob bobson
red squirrel;germany;0.299;21;male;;;;;02.03.2024;bob bobson
red squirrel;germany;0.284;20;female;;;;;02.03.2024;bob bobson
red squirrel;germany;0.289;20;female;;;;;02.03.2024;bob bobson
red squirrel;germany;0.284;21;male;;;;;02.03.2024;bob bobson
red squirrel;germany;0.314;22;male;;;;;02.03.2024;bob bobson
red squirrel;germany;0.262;19;female;;;;;02.03.2024;bob bobson
red squirrel;germany;0.258;20;male;;;;;02.03.2024;bob bobson
red squirrel;germany;0.297;21;male;;;;;02.03.2024;bob bobson
red squirrel;germany;0.255;22;female;;;;;02.03.2024;bob bobson
red squirrel;germany;0.28;22;male;;;;;02.03.2024;bob bobson
red squirrel;germany;0.293;22;male;;;;;02.03.2024;bob bobson
red squirrel;germany;0.295;20;male;;;;;02.03.2024;bob bobson
red squirrel;germany;0.28;20;male;;;;;02.03.2024;bob bobson
red squirrel;germany;0.281;20;male;;;;;02.03.2024;bob bobson
red squirrel;germany;0.245;21;female;;;;;02.03.2024;bob bobson
red squirrel;germany;0.283;21;male;;;;;02.03.2024;bob bobson
red squirrel;germany;0.27;19;male;;;;;02.03.2024;bob bobson
red squirrel;germany;0.315;22;male;;;;;02.03.2024;bob bobson
red squirrel;germany;0.254;17;female;;;;;02.03.2024;bob bobson
red squirrel;germany;0.249;19;male;;;;;02.03.2024;bob bobson
red squirrel;germany;0.298;21;male;;;;;02.03.2024;bob bobson
red squirrel;germany;0.314;19;female;;;;;02.03.2024;bob bobson
red squirrel;germany;0.251;19;male;;;;;02.03.2024;bob bobson
red squirrel;germany;0.293;20;female;;;;;02.03.2024;bob bobson
red squirrel;germany;0.301;20;male;;;;;02.03.2024;bob bobson
red squirrel;germany;0.271;17;male;;;;;02.03.2024;bob bobson
red squirrel;germany;0.275;20;male;;;;;02.03.2024;bob bobson
red squirrel;germany;0.304;21;male;;;;;02.03.2024;bob bobson
red squirrel;germany;0.308;20;male;;;;;02.03.2024;bob bobson
red squirrel;germany;0.24;21;male;;;;;02.03.2024;bob bobson
european bison;czech;402;162;female;;50.641008;14.836529;;02.03.2024;john johnson
european bison;czech republic;535;295;male;;50.643406;14.836495;;02.03.2024;john johnson
european buster;czech republic;572;251;female;;50.638945;14.845452;;02.03.2024;john johnson
hedgehog;czech republic;0.9;20;female;;50.639869;14.849702;;02.03.2024;john johnson
hedgehog;czech republic;0.7;16;female;;50.643039;14.840662;;02.03.2024;john johnson
hedgehog;czech republic;0.7;14;female;;50.637879;14.838429;;02.03.2024;john johnson
hedgehog;czech republic;1.1;32;male;;50.643254;14.843730;;02.03.2024;john johnson
hedgehog;czech republic;0.5;20;male;;50.643854;14.837155;;02.03.2024;john johnson
hedgehog;czech republic;1.1;22;female;;50.635584;14.837072;;02.03.2024;john johnson
hedgehog;czech republic;1;20;female;;50.642723;14.837229;;02.03.2024;john johnson
hedgehog;czech republic;0.7;13;female;;50.639389;14.844400;;02.03.2024;john johnson
lynx;slovakia;30;120;male;;48.409308;18.832606;;02.03.2024;john johnson
red squirrel;hungry;0.262;20;female;;47.510799;18.945583;;03.03.2024;anne anthony
;;;;;;;;;03.03.2024;james johnson
hedgehog;czech republic;0.6;20;male;;50.637375;14.839785;;03.03.2024;john johnson
lynx;slovakia;28;131;male;;48.406304;18.842851;;03.03.2024;john johnson
red squirel;slovakia;0.281;18;male;;48.187690;17.086471;;03.03.2024;john johnson
european bison;poland;650;285;female;;52.834741;23.826716;;04.03.2024;anne anthony
hedgehog;hu;1.1;24;male;;48.503795;20.555932;;04.03.2024;anne anthony
hedgehog;hungary;1.1;26;not determined;;48.503062;20.551698;;04.03.2024;anne anthony
hedgehog;hungary;0.8;18;female;;48.503498;20.539662;;04.03.2024;anne anthony
hedgehog;hungary;1.2;26;male;;48.509298;20.551977;;04.03.2024;anne anthony
hedgehog;poland;0.9;22;male;;52.214679;21.033021;;04.03.2024;anne anthony
lynx;hungary;25;89;male;;48.504169;20.559452;;04.03.2024;anne anthony
red squirel;hungary;0.283;18;female;;48.505251;20.551473;;04.03.2024;anne anthony
red squirrel;hungary;0.307;-19;male;;;;;04.03.2024;anne anthony
red squirrel;hungary;0.296;22;male;;48.502584;20.532518;;04.03.2024;anne anthony
red squirrel;hungary;0.301;18;female;;48.505512;20.538038;;04.03.2024;anne anthony
red squirrel;hungary;0.295;17;male;;48.505780;20.546466;;04.03.2024;anne anthony
red squirrel;hungry;0.32;18;male;;48.502091;20.547521;;04.03.2024;anne anthony
red squirrel;hungary;0.28;19;female;;48.505494;20.536362;;04.03.2024;anne anthony
red squirrel;poland;0.33;24;male;;52.241203;21.050999;;04.03.2024;anne anthony
red squirrel;poland;0.3;22;female;;52.240018;21.052390;lola;04.03.2024;anne anthony
